GISAID accession,GISAID name,Sample Date,Sample Name,Sample File 1,Sample File 2
EPI_ISL_13052308,hCoV-19/env/Hubei/IVDC-0790/2020,2020-02-09,CSSQ-1-3,E100001318_L01_10_1.fq.gz,E100001318_L01_10_2.fq.gz
EPI_ISL_13052309,hCoV-19/env/Hubei/IVDC-0806/2020,2020-02-15,W-8-25-D1,E100001233_L01_1.fq.gz,NA
EPI_ISL_13052310,hCoV-19/env/Hubei/IVDC-0807/2020,2020-02-15,W-8-25-D2,E100001233_L01_12.fq.gz,NA
EPI_ISL_13052311,hCoV-19/env/Hubei/IVDC-0808/2020,2020-02-15,W-8-25-L,E100001233_L01_15.fq.gz,NA
EPI_ISL_13052312,hCoV-19/env/Hubei/IVDC-0809/2020,2020-02-15,W-8-25-L2,E100001233_L01_16.fq.gz,NA
EPI_ISL_13052313,hCoV-19/env/Hubei/IVDC-0813/2020,2020-02-15,EWS-2#-2,E100001233_L01_17.fq.gz,NA
EPI_ISL_13052314,hCoV-19/env/Hubei/IVDC-0815/2020,2020-02-15,EWS-3#-2,E100001233_L01_20.fq.gz,NA
EPI_ISL_13052315,hCoV-19/env/Hubei/IVDC-0816/2020,2020-02-15,WWS-1#,E100001233_L01_10.fq.gz,NA
EPI_ISL_13052316,hCoV-19/env/Hubei/IVDC-0817/2020,2020-02-15,WWS-1#-2,E100001233_L01_31.fq.gz,NA
EPI_ISL_13052317,hCoV-19/env/Hubei/IVDC-0818/2020,2020-02-15,WWS-1#-3,E100001233_L01_33.fq.gz,NA
EPI_ISL_13052318,hCoV-19/env/Hubei/IVDC-0821/2020,2020-02-15,WWS-2#-3,E100001233_L01_26.fq.gz,NA
EPI_ISL_13052319,hCoV-19/env/Hubei/IVDC-0828/2020,2020-02-15,w-6-29-33,E100001233_L01_36.fq.gz,NA
EPI_ISL_13052320,hCoV-19/env/Hubei/IVDC-0829/2020,2020-02-15,w-zong-1,E100001233_L01_30.fq.gz,NA
EPI_ISL_13052321,hCoV-19/env/Hubei/IVDC-0830/2020,2020-02-15,wws-1#-0,E100001233_L01_32.fq.gz,NA
